Date,MMM,AXP,AMGN,AAPL,BA,CAT,CVX,CSCO,KO,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PG,CRM,TRV,UNH,VZ,V,WBA,WMT
2017-03-02,164.4481201171875,74.68355560302734,155.2113494873047,32.84190368652344,171.11734008789062,83.53636169433594,91.58344268798828,29.6866455078125,36.08363723754883,105.9032211303711,230.55636596679688,131.74684143066406,110.05158233642578,138.30422973632812,31.834850311279297,109.06714630126953,80.83390045166016,114.38607025146484,54.043704986572266,59.875911712646484,55.04194641113281,79.46757507324219,82.66999816894531,110.62934875488281,155.1507110595703,40.440799713134766,85.87492370605469,74.61421966552734,63.939064025878906
2017-03-03,163.94583129882812,74.47843170166016,157.0679168701172,33.035709381103516,170.35989379882812,84.20919036865234,91.73694610595703,29.600326538085938,36.09214782714844,106.52567291259766,232.2368927001953,131.6221923828125,109.94703674316406,137.93650817871094,31.825990676879883,109.20829772949219,81.41291046142578,114.09168243408203,54.4526252746582,60.10041046142578,53.99442672729492,79.10919189453125,82.22000122070312,110.28288269042969,155.97601318359375,40.52980422973633,86.12712097167969,73.88306427001953,63.279422760009766
2017-03-06,163.59080505371094,74.12410736083984,156.42286682128906,32.93170166015625,169.19094848632812,84.6872329711914,91.429931640625,29.51399803161621,35.837249755859375,105.97982788085938,231.4287872314453,131.01663208007812,109.83380126953125,138.2582550048828,31.533451080322266,109.13772583007812,80.64087677001953,114.20764923095703,54.3626594543457,60.119110107421875,54.061092376708984,78.99555206298828,82.5,108.67477416992188,156.43971252441406,40.48124313354492,86.27262115478516,73.87445831298828,63.143890380859375
2017-03-07,163.75535583496094,74.1987075805664,154.6099090576172,32.97426223754883,170.21026611328125,84.92628479003906,90.33120727539062,29.522632598876953,35.675819396972656,106.16178131103516,230.40940856933594,130.81951904296875,109.99058532714844,138.18930053710938,31.737346649169922,109.24359893798828,80.1934585571289,114.24335479736328,53.945560455322266,60.24072265625,53.85158157348633,78.92562866210938,82.97000122070312,108.51483917236328,156.06875610351562,40.00386047363281,86.3890151977539,73.96908569335938,63.134857177734375
2017-03-08,164.11903381347656,73.6952133178711,154.95855712890625,32.85136032104492,169.94842529296875,82.53598022460938,88.55382537841797,29.36724281311035,35.675819396972656,106.14261627197266,229.80337524414062,131.62583923339844,110.27806854248047,137.47686767578125,31.577762603759766,109.4817886352539,80.01802062988281,114.26116943359375,53.81470489501953,60.792625427246094,53.81349563598633,78.79449462890625,83.4800033569336,108.30938720703125,156.28749084472656,39.77730178833008,86.2920150756836,73.2551040649414,63.53535079956055
2017-03-09,164.456787109375,73.93762969970703,155.95220947265625,32.77573013305664,168.85433959960938,80.90702819824219,88.90123748779297,29.4104061126709,35.709808349609375,106.32457733154297,229.7482147216797,131.35708618164062,109.92960357666016,135.73779296875,31.755054473876953,111.11387634277344,80.3338394165039,114.3057861328125,53.888301849365234,60.54941177368164,53.670650482177734,78.96930694580078,83.27999877929688,108.89900207519531,156.38059997558594,39.8744010925293,86.43750762939453,73.38412475585938,63.589969635009766
2017-03-10,165.59127807617188,74.0122299194336,158.14874267578125,32.88445281982422,167.10565185546875,81.72149658203125,89.36172485351562,29.57442283630371,35.93070983886719,106.21923828125,228.09523010253906,131.56312561035156,110.67008972167969,136.23577880859375,31.834850311279297,111.34324645996094,80.07942962646484,114.16304779052734,53.6511344909668,60.73649597167969,53.73731231689453,79.6074447631836,83.51000213623047,109.72979736328125,158.21421813964844,39.931034088134766,87.0389404296875,73.6594009399414,63.80841827392578
2017-03-13,165.8597412109375,73.8537368774414,157.80882263183594,32.89863586425781,167.4329376220703,82.01366424560547,88.34378051757812,29.436304092407227,36.024993896484375,106.7938003540039,227.89320373535156,132.08274841308594,110.40001678466797,135.18618774414062,31.16996955871582,111.75787353515625,80.14961242675781,113.83300018310547,52.84384536743164,60.530704498291016,53.96586608886719,79.81720733642578,83.61000061035156,109.1223373413086,158.4282989501953,40.02813720703125,87.40753173828125,73.64220428466797,63.67190170288086
2017-03-14,164.82919311523438,74.30127716064453,156.99819946289062,32.8489990234375,167.13372802734375,81.32313537597656,86.7360610961914,29.453571319580078,35.97357177734375,107.55033111572266,227.48912048339844,131.84088134765625,109.51146697998047,134.61929321289062,31.187698364257812,112.08428955078125,80.28121948242188,114.00247955322266,52.88503646850586,60.250083923339844,54.5467529296875,79.54625701904297,83.51000213623047,109.5422134399414,157.35789489746094,39.93912887573242,86.86433410644531,73.46155548095703,64.37278747558594
2017-03-15,165.5825958251953,73.87237548828125,159.1598358154297,33.19641876220703,167.11502075195312,82.65108489990234,87.96406555175781,29.557151794433594,36.102134704589844,107.12898254394531,226.62591552734375,132.5486297607422,110.6091079711914,134.68821716308594,31.11677360534668,113.7693099975586,80.47421264648438,114.07383728027344,53.29691696166992,60.5681266784668,54.90861129760742,79.89590454101562,83.4800033569336,109.87271881103516,159.88966369628906,40.570255279541016,87.22322845458984,73.80564880371094,64.24535369873047
2017-03-16,164.81185913085938,74.3758544921875,156.98947143554688,33.25077438354492,166.62875366210938,82.1995620727539,87.13998413085938,29.54852294921875,36.21356201171875,106.97576141357422,227.9483184814453,133.24746704101562,110.07769775390625,135.7837677001953,31.152233123779297,113.32821655273438,80.39524841308594,114.16304779052734,52.86857604980469,60.4652214050293,54.85148239135742,79.93087005615234,83.5199966430664,109.64939880371094,159.44285583496094,40.489341735839844,87.33964538574219,73.69379425048828,64.11792755126953
2017-03-17,166.5872039794922,73.89103698730469,146.96568298339844,33.0853385925293,168.4148406982422,82.25269317626953,86.99459075927734,29.54852294921875,36.024993896484375,107.02363586425781,224.01783752441406,134.02688598632812,110.77462768554688,134.56564331054688,31.26749038696289,112.97530364990234,79.55305480957031,114.75179290771484,52.63791275024414,60.68037033081055,55.04194641113281,79.54625701904297,83.02999877929688,110.00675964355469,157.95361328125,40.77254867553711,87.53363800048828,73.9002456665039,63.617271423339844
2017-03-20,167.15013122558594,73.51806640625,147.5148468017578,33.43276596069336,167.7509002685547,84.45706939697266,86.97843933105469,29.59168815612793,36.153564453125,107.93338012695312,222.36485290527344,132.4142608642578,110.19967651367188,134.60400390625,31.409318923950195,112.9841537475586,78.98279571533203,114.87667083740234,52.81089401245117,60.73649597167969,55.879940032958984,79.73855590820312,82.9000015258789,109.30994415283203,156.3712921142578,40.65116500854492,86.50542449951172,72.79920196533203,63.69921112060547
2017-03-21,166.3880157470703,72.28732299804688,145.431640625,33.04988479614258,164.5434112548828,81.8277359008789,87.2854232788086,29.246395111083984,36.42784881591797,107.01406860351562,213.97129821777344,131.34812927246094,109.46792602539062,133.20965576171875,31.06358528137207,112.26073455810547,76.66674041748047,114.64472961425781,52.64615249633789,60.06299591064453,55.24191665649414,79.71233367919922,81.55000305175781,108.7114028930664,156.092041015625,40.5864372253418,85.41901397705078,71.57769012451172,63.62636184692383
2017-03-22,166.4659881591797,72.4178466796875,145.95458984375,33.423301696777344,165.49722290039062,81.8277359008789,87.56816101074219,29.436304092407227,36.32499694824219,107.33006286621094,212.19895935058594,132.02003479003906,109.32855224609375,133.8991241455078,31.35613250732422,111.3873519897461,76.78956604003906,115.16213989257812,52.308414459228516,60.83003234863281,51.347084045410156,79.53751373291016,81.87999725341797,109.01515197753906,155.4684600830078,40.22232437133789,85.86520385742188,71.42285919189453,63.94496154785156
2017-03-23,166.39669799804688,72.57636260986328,144.72560119628906,33.30512619018555,165.7590789794922,81.65068054199219,87.1480712890625,29.315454483032227,36.144996643066406,107.48329162597656,212.96116638183594,132.58447265625,109.34595489501953,133.9297637939453,31.26749038696289,111.06974792480469,76.66674041748047,115.07291412353516,52.1271858215332,60.68037033081055,52.7278938293457,79.34519958496094,81.5199966430664,108.35404968261719,153.84884643554688,40.16568374633789,86.19500732421875,71.3798599243164,63.589969635009766
2017-03-24,165.85110473632812,72.91202545166016,144.46412658691406,33.23895263671875,164.4125213623047,81.57984924316406,87.24503326416016,29.419038772583008,36.102134704589844,107.38753509521484,209.7561492919922,132.3336181640625,108.69259643554688,133.17137145996094,31.16996955871582,110.6992416381836,76.57901763916016,115.37621307373047,52.04480743408203,60.783260345458984,53.670650482177734,79.17034912109375,81.61000061035156,107.88951873779297,153.57896423339844,40.19805145263672,86.51513671875,71.37126922607422,63.36241912841797
2017-03-27,164.915771484375,72.35258483886719,143.7406768798828,33.29568099975586,164.67433166503906,81.01326751708984,85.863525390625,29.341352462768555,36.2735595703125,107.61735534667969,207.06541442871094,131.5810546875,108.4573745727539,133.1253662109375,31.373857498168945,110.9815444946289,76.53514099121094,115.51002502441406,52.05305480957031,60.89552688598633,53.261173248291016,79.1004409790039,81.61000061035156,108.10393524169922,153.20660400390625,39.76112365722656,86.28233337402344,71.87876892089844,63.40790939331055
2017-03-28,165.40074157714844,73.32227325439453,143.56634521484375,33.98579788208008,165.85260009765625,82.28809356689453,86.58255004882812,29.36724281311035,36.36784744262695,108.25896453857422,210.60104370117188,131.876708984375,109.13687133789062,133.6923065185547,31.560028076171875,110.85801696777344,77.728271484375,115.4743423461914,52.17662048339844,61.073238372802734,53.918243408203125,79.33647155761719,82.13999938964844,108.8096694946289,153.90469360351562,39.89057540893555,86.44722747802734,72.03360748291016,64.00868225097656
2017-03-29,165.1322784423828,72.95864868164062,142.12814331054688,34.061424255371094,166.1051025390625,82.20843505859375,87.30964660644531,29.125539779663086,36.359275817871094,107.7610092163086,209.79287719726562,131.7333526611328,109.154296875,133.25563049316406,31.533451080322266,110.20519256591797,77.43877410888672,114.93018341064453,52.42373275756836,61.241615295410156,53.97538757324219,79.19659423828125,82.37999725341797,107.67510986328125,152.12692260742188,39.753028869628906,86.50542449951172,72.0594253540039,64.3909683227539
