Date,^NDX
2021-07-20,14728.2099609375
2021-07-21,14842.6298828125
2021-07-22,14940.169921875
2021-07-23,15111.7900390625
2021-07-26,15125.9501953125
2021-07-27,14956.9697265625
2021-07-28,15018.099609375
2021-07-29,15048.3603515625
2021-07-30,14959.900390625
2021-08-02,14963.6201171875
2021-08-03,15061.419921875
2021-08-04,15083.3896484375
2021-08-05,15181.6396484375
2021-08-06,15109.3603515625
2021-08-09,15133.1103515625
2021-08-10,15053.580078125
2021-08-11,15027.759765625
2021-08-12,15088.98046875
2021-08-13,15136.6796875
2021-08-16,15140.76953125
2021-08-17,15002.830078125
2021-08-18,14857.919921875
2021-08-19,14933.9404296875
2021-08-20,15092.5703125
2021-08-23,15312.8203125
2021-08-24,15357.6796875
2021-08-25,15368.919921875
2021-08-26,15278.51953125
2021-08-27,15432.9501953125
2021-08-30,15605.08984375
2021-08-31,15582.509765625
2021-09-01,15611.5703125
2021-09-02,15604.25
2021-09-03,15652.8603515625
2021-09-07,15675.759765625
2021-09-08,15620.849609375
2021-09-09,15561.0498046875
2021-09-10,15440.75
2021-09-13,15434.5
2021-09-14,15382.900390625
2021-09-15,15503.5302734375
2021-09-16,15515.91015625
2021-09-17,15333.4697265625
2021-09-20,15012.1904296875
2021-09-21,15027.76953125
2021-09-22,15176.509765625
2021-09-23,15316.580078125
2021-09-24,15329.6796875
2021-09-27,15204.8203125
2021-09-28,14770.2998046875
2021-09-29,14752.8896484375
2021-09-30,14689.6201171875
2021-10-01,14791.8701171875
2021-10-04,14472.1201171875
2021-10-05,14674.150390625
2021-10-06,14766.75
2021-10-07,14897.1298828125
2021-10-08,14820.75
2021-10-11,14713.73046875
2021-10-12,14662.1103515625
2021-10-13,14774.599609375
2021-10-14,15052.419921875
2021-10-15,15146.919921875
2021-10-18,15300.8896484375
2021-10-19,15410.7197265625
2021-10-20,15388.7099609375
2021-10-21,15489.58984375
2021-10-22,15355.0703125
2021-10-25,15514.1904296875
2021-10-26,15559.490234375
2021-10-27,15598.3896484375
2021-10-28,15778.16015625
2021-10-29,15850.4697265625
2021-11-01,15905.2802734375
2021-11-02,15972.490234375
2021-11-03,16144.5
2021-11-04,16346.240234375
2021-11-05,16359.3798828125
2021-11-08,16336.0302734375
2021-11-09,16219.9404296875
2021-11-10,15985.5703125
2021-11-11,16032.4697265625
2021-11-12,16199.8896484375
2021-11-15,16189.1201171875
2021-11-16,16309.76953125
2021-11-17,16308.0703125
2021-11-18,16482.970703125
2021-11-19,16573.33984375
2021-11-22,16380.98046875
2021-11-23,16306.7197265625
2021-11-24,16367.8095703125
2021-11-26,16025.580078125
2021-11-29,16399.240234375
2021-11-30,16135.919921875
2021-12-01,15877.7197265625
2021-12-02,15990.759765625
2021-12-03,15712.0400390625
2021-12-06,15846.16015625
2021-12-07,16325.66015625
2021-12-08,16394.33984375
2021-12-09,16149.5703125
2021-12-10,16331.98046875
2021-12-13,16082.5498046875
2021-12-14,15914.900390625
2021-12-15,16289.58984375
2021-12-16,15863.9404296875
2021-12-17,15801.4599609375
2021-12-20,15627.6396484375
2021-12-21,15986.2802734375
2021-12-22,16180.1396484375
2021-12-23,16308.2099609375
2021-12-27,16567.5
2021-12-28,16488.66015625
2021-12-29,16491.009765625
2021-12-30,16429.099609375
